"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","476","adds a car to the cart and keeps duplicate adds idempotent","Cars, cart, and order APIs","2026-08-14","passed","2026-08-14","","","",""
"","541","creates an order from the cart and removes the purchased car from inventory","Cars, cart, and order APIs","2026-08-14","passed","2026-08-14","","","",""
"","2540","catalog filters cars by model","chromium","2026-08-14","passed","2026-08-14","","car-shop.spec.js","",""
"","4128","new user can register, browse cars, add to cart, and buy","chromium","2026-08-14","passed","2026-08-14","","car-shop.spec.js","",""
"","296","filters cars by model and range","Cars, cart, and order APIs","2026-08-14","passed","2026-08-14","","","",""
"","289","rejects checkout when the cart is empty","Cars, cart, and order APIs","2026-08-14","passed","2026-08-14","","","",""
"","290","lists reusable seeded cars sorted by price by default","Cars, cart, and order APIs","2026-08-14","passed","2026-08-14","","","",""
"","8928","failure demo captures diagnostics for the Allure report","chromium","2026-08-14","failed","2026-08-14","","failure-artifacts-demo.spec.js","",""
"","432","logs in an existing user","Auth API","2026-08-14","passed","2026-08-14","","","",""
"","397","registers a user and returns the current account","Auth API","2026-08-14","passed","2026-08-14","","","",""
"","134","rejects protected resources without a bearer token","Auth API","2026-08-14","passed","2026-08-14","","","",""
